Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,data,Mean,Error,StdDev,Min,Max,Gen0,Gen1,Gen2,Allocated
Bebop_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,106.36 μs,0.063 μs,0.056 μs,106.23 μs,106.45 μs,43.3350,20.3857,-,272000 B
GroBuf_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,110.83 μs,0.146 μs,0.136 μs,110.64 μs,111.05 μs,41.9922,20.9961,-,263784 B
MessagePack_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,231.11 μs,0.273 μs,0.213 μs,230.80 μs,231.43 μs,41.9922,20.9961,-,263712 B
ProtoBufNet_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,249.88 μs,0.272 μs,0.242 μs,249.49 μs,250.27 μs,42.9688,15.6250,-,270233 B
Hyperion_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,281.61 μs,0.148 μs,0.139 μs,281.35 μs,281.75 μs,49.8047,24.9023,-,315424 B
MsgPack_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,345.32 μs,0.649 μs,0.607 μs,344.50 μs,346.49 μs,51.2695,23.9258,-,322224 B
AvroConvert_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,"1,065.17 μs",2.358 μs,2.206 μs,"1,062.38 μs","1,069.69 μs",195.3125,82.0313,-,1225548 B
BSON_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,"1,421.65 μs",1.487 μs,1.161 μs,"1,420.02 μs","1,424.01 μs",111.3281,54.6875,-,701892 B
GroBuf_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"7,008.92 μs",84.377 μs,78.926 μs,"6,878.29 μs","7,156.69 μs",1210.9375,515.6250,171.8750,6533222 B
Bebop_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"7,226.75 μs",8.158 μs,7.232 μs,"7,217.44 μs","7,242.97 μs",1250.0000,539.0625,179.6875,6732583 B
MessagePack_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"9,648.85 μs",11.270 μs,9.990 μs,"9,634.35 μs","9,662.78 μs",1187.5000,500.0000,156.2500,6533142 B
ProtoBufNet_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"10,406.65 μs",53.215 μs,49.778 μs,"10,271.46 μs","10,457.28 μs",1218.7500,515.6250,156.2500,6693373 B
Hyperion_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"13,777.34 μs",115.171 μs,96.173 μs,"13,654.41 μs","13,974.35 μs",1421.8750,609.3750,187.5000,7789699 B
MsgPack_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"13,812.40 μs",152.149 μs,142.320 μs,"13,559.49 μs","13,981.24 μs",1421.8750,609.3750,187.5000,7993148 B
AvroConvert_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"32,204.29 μs",108.126 μs,101.142 μs,"32,094.36 μs","32,427.29 μs",3937.5000,1062.5000,312.5000,26403270 B
GroBuf_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"35,696.67 μs",379.411 μs,354.902 μs,"35,027.66 μs","36,219.99 μs",4600.0000,1866.6667,466.6667,26179113 B
Bebop_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"38,257.50 μs",340.619 μs,265.933 μs,"37,557.27 μs","38,612.50 μs",4812.5000,2000.0000,562.5000,26980798 B
BSON_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"43,621.27 μs",242.052 μs,188.979 μs,"43,303.80 μs","43,901.16 μs",3000.0000,916.6667,250.0000,17299087 B
MessagePack_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"46,444.78 μs",151.608 μs,141.814 μs,"46,188.23 μs","46,675.79 μs",4545.4545,1818.1818,454.5455,26179144 B
ProtoBufNet_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"50,713.72 μs",142.730 μs,133.510 μs,"50,347.42 μs","50,856.76 μs",4800.0000,2000.0000,600.0000,26819769 B
Hyperion_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"61,367.55 μs",411.792 μs,365.043 μs,"60,758.03 μs","62,022.32 μs",5500.0000,2375.0000,625.0000,31180252 B
MsgPack_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"61,954.40 μs",186.470 μs,165.301 μs,"61,730.87 μs","62,253.26 μs",5500.0000,2125.0000,500.0000,32018834 B
AvroConvert_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"129,342.32 μs",379.061 μs,316.533 μs,"128,598.59 μs","129,686.82 μs",15000.0000,4250.0000,500.0000,105397354 B
BSON_Deserialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"214,723.66 μs",674.765 μs,631.176 μs,"213,350.26 μs","215,583.51 μs",11000.0000,3333.3333,333.3333,69301888 B
GroBuf_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,73.33 μs,0.210 μs,0.196 μs,73.00 μs,73.73 μs,26.8555,26.8555,26.8555,189573 B
Bebop_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,81.51 μs,0.216 μs,0.169 μs,81.09 μs,81.70 μs,-,-,-,24 B
MessagePack_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,116.04 μs,0.156 μs,0.138 μs,115.70 μs,116.26 μs,10.9863,2.1973,-,69336 B
ProtoBufNet_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,175.75 μs,0.222 μs,0.207 μs,175.40 μs,176.10 μs,36.1328,9.0332,-,228616 B
MsgPack_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,225.71 μs,0.106 μs,0.099 μs,225.54 μs,225.93 μs,94.7266,24.4141,-,596032 B
Hyperion_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,250.58 μs,4.067 μs,3.396 μs,247.17 μs,257.70 μs,62.0117,34.1797,22.4609,384320 B
AvroConvert_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,749.76 μs,7.729 μs,7.229 μs,739.53 μs,763.73 μs,239.2578,101.5625,45.8984,1481780 B
BSON_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Small,"1,080.60 μs",4.928 μs,4.610 μs,"1,074.50 μs","1,089.77 μs",177.7344,103.5156,93.7500,1093668 B
GroBuf_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"1,788.21 μs",7.842 μs,6.548 μs,"1,773.11 μs","1,798.43 μs",130.8594,130.8594,130.8594,4688747 B
Bebop_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"2,230.84 μs",2.775 μs,2.596 μs,"2,226.76 μs","2,235.53 μs",-,-,-,27 B
MessagePack_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"2,869.11 μs",1.534 μs,1.360 μs,"2,866.83 μs","2,870.96 μs",82.0313,82.0313,82.0313,1737189 B
ProtoBufNet_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"4,517.67 μs",6.892 μs,5.755 μs,"4,510.27 μs","4,526.95 μs",312.5000,289.0625,289.0625,7090196 B
Hyperion_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"6,022.72 μs",17.851 μs,16.698 μs,"6,005.48 μs","6,062.22 μs",453.1250,265.6250,250.0000,7197670 B
MsgPack_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"6,051.81 μs",37.696 μs,31.478 μs,"6,001.14 μs","6,120.74 μs",859.3750,507.8125,468.7500,15023898 B
GroBuf_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"7,553.94 μs",149.972 μs,277.982 μs,"6,941.86 μs","7,826.03 μs",78.1250,78.1250,78.1250,18824361 B
Bebop_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"8,960.78 μs",14.179 μs,12.569 μs,"8,931.85 μs","8,978.89 μs",-,-,-,34 B
MessagePack_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"11,490.05 μs",11.773 μs,11.012 μs,"11,476.37 μs","11,512.17 μs",46.8750,46.8750,46.8750,7196926 B
AvroConvert_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"15,373.28 μs",73.547 μs,68.796 μs,"15,243.54 μs","15,450.65 μs",3640.6250,937.5000,578.1250,31821238 B
ProtoBufNet_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"19,039.85 μs",151.448 μs,134.255 μs,"18,662.80 μs","19,152.00 μs",125.0000,125.0000,125.0000,27892894 B
BSON_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Medium,"25,767.36 μs",69.874 μs,61.941 μs,"25,688.15 μs","25,919.20 μs",2000.0000,406.2500,406.2500,22511754 B
MsgPack_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"25,959.33 μs",105.905 μs,88.435 μs,"25,792.72 μs","26,101.66 μs",1906.2500,687.5000,625.0000,67712147 B
Hyperion_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"26,718.18 μs",82.613 μs,77.277 μs,"26,628.42 μs","26,885.05 μs",968.7500,250.0000,218.7500,28828458 B
AvroConvert_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"57,063.31 μs",55.234 μs,48.963 μs,"56,981.69 μs","57,156.14 μs",12444.4444,555.5556,333.3333,127375845 B
BSON_Serialize,DefaultJob,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Large,"100,193.82 μs",420.955 μs,328.654 μs,"99,614.12 μs","100,600.68 μs",6400.0000,-,-,90285170 B
